obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	Type	tp_ref	line_ref	
"577.108"	""	"29"	""		""	""		""	"L3475"	
"577.607"	""	"50c"	""		""	""		""	"L3475"	
"578.034"	""	"17"	""		""	""		""	"L3475"	
"578.754"	""	"85"	""		""	""		""	"L3475"	
"578.979"	""	"17"	""		""	""		""	"L3475"	
"579.424"	""	"50"	""		""	""		""	"L3475"	
"580.403"	""	"50"	""		""	""		""	"L3475"	
"581.533"	""	"29w"	""		""	""		""	"L3475"	
"581.943"	""	"110"	""		""	""		""	"L3475"	
"582.062"	""	"35"	""		""	""		""	"L3475"	
"583.490"	""	"75"	""		""	""		""	"L3475"	
"583.815"	""	"25"	""		""	""		""	"L3475"	
"583.864"	""	"130bl"	""		""	""		""	"L3475"	
"584.247"	""	"50"	""		""	""		""	"L3475"	
"584.609"	""	"17"	""		""	""		""	"L3475"	
"586.647"	""	"65"	""		""	""		""	"L3475"	
"587.470"	""	"35"	""		""	""		""	"L3475"	
"587.779"	""	"17"	""		""	""		""	"L3475"	
"589.344"	""	"40"	""		""	""		""	"L3475"	
"590.062"	""	"190c,w"	""		""	""		""	"L3475"	
"590.380"	""	"40c"	""		""	""		""	"L3475"	
"592.741"	""	"29"	""		""	""		""	"L3475"	
"593.416"	""	"40c"	""		""	""		""	"L3475"	
"595.770"	""	"40"	""		""	""		""	"L3475"	
"598.322"	""	"150"	""		""	""		""	"L3475"	
"598.608"	""	"65"	""		""	""		""	"L3475"	
"599.793"	""	"85c,w"	""		""	""		""	"L3475"	
"602.975"	""	"50"	""		""	""		""	"L3475"	
"603.184"	""	"50"	""		""	""		""	"L3475"	
"604.550"	""	"50"	""		""	""		""	"L3475"	
"604.872"	""	"25"	""		""	""		""	"L3475"	
"605.665"	""	"29"	""		""	""		""	"L3475"	
"610.771"	""	"29"	""		""	""		""	"L3475"	
"614.251"	""	"40"	""		""	""		""	"L3475"	
"614.813"	""	"50"	""		""	""		""	"L3475"	
"616.432"	""	"50"	""		""	""		""	"L3475"	
"621.306"	""	"29"	""		""	""		""	"L3475"	
"622.196"	""	"75"	""		""	""		""	"L3475"	
"625.176"	""	"40c"	""		""	""		""	"L3475"	
"626.077"	""	"21"	""		""	""		""	"L3475"	
"643.046"	""	"85c"	""		""	""		""	"L3475"	
"643.322"	""	"50c"	""		""	""		""	"L3475"	
"649.784"	""	"17"	""		""	""		""	"L3475"	
"654.461"	""	"65"	""		""	""		""	"L3475"	
"657.473"	""	"15"	""		""	""		""	"L3475"	
"659.100"	""	"19c,w"	""		""	""		""	"L3475"	
"660.616"	""	"19"	""		""	""		""	"L3475"	
"660.728"	""	"19"	""		""	""		""	"L3475"	
"661.415"	""	"35"	""		""	""		""	"L3475"	
"662.698"	""	"19"	""		""	""		""	"L3475"	
"666.084"	""	"210c,w"	""		""	""		""	"L3475"	
"667.733"	""	"150c,w"	""		""	""		""	"L3475"	
"670.120"	""	"65"	""		""	""		""	"L3475"	
"672.362"	""	"130c"	""		""	""		""	"L3475"	
"673.988"	""	"75"	""		""	""		""	"L3475"	
"679.531"	""	"25"	""		""	""		""	"L3475"	
"682.811"	""	"85"	""		""	""		""	"L3475"	
"684.935"	""	"25c"	""		""	""		""	"L3475"	
"687.092"	""	"19"	""		""	""		""	"L3475"	
"687.636"	""	"40"	""		""	""		""	"L3475"	
"690.289"	""	"25c"	""		""	""		""	"L3475"	
"690.807"	""	"35"	""		""	""		""	"L3475"	
"691.832"	""	"40"	""		""	""		""	"L3475"	
"694.607"	""	"17"	""		""	""		""	"L3475"	
"697.249"	""	"17"	""		""	""		""	"L3475"	
"698.609"	""	"25"	""		""	""		""	"L3475"	
"699.032"	""	"85"	""		""	""		""	"L3475"	
"699.611"	""	"17c"	""		""	""		""	"L3475"	
"702.348"	""	"21"	""		""	""		""	"L3475"	
"703.804"	""	"17"	""		""	""		""	"L3475"	
"704.681"	""	"190c"	""		""	""		""	"L3475"	
"706.641"	""	"8"	""		""	""		""	"L3475"	
"707.523"	""	"8"	""		""	""		""	"L3475"	
"709.894"	""	"40c"	""		""	""		""	"L3475"	
"710.201"	""	"17c,w"	""		""	""		""	"L3475"	
"711.931"	""	"19"	""		""	""		""	"L3475"	
"712.295"	""	"15"	""		""	""		""	"L3475"	
"712.617"	""	"35"	""		""	""		""	"L3475"	
"713.006"	""	"17"	""		""	""		""	"L3475"	
"715.943"	""	"130"	""		""	""		""	"L3475"	
"719.137"	""	"17"	""		""	""		""	"L3475"	
"720.894"	""	"19c"	""		""	""		""	"L3475"	
"725.235"	""	"50"	""		""	""		""	"L3475"	
"727.481"	""	"15"	""		""	""		""	"L3475"	
"731.703"	""	"13"	""		""	""		""	"L3475"	
"732.392"	""	"17c"	""		""	""		""	"L3475"	
"732.838"	""	"29c,w"	""		""	""		""	"L3475"	
"735.316"	""	"65c"	""		""	""		""	"L3475"	
"737.250"	""	"190c,w"	""		""	""		""	"L3475"	
"741.983"	""	"13"	""		""	""		""	"L3475"	
"743.602"	""	"15"	""		""	""		""	"L3475"	
"747.820"	""	"19"	""		""	""		""	"L3475"	
"751.593"	""	"65"	""		""	""		""	"L3475"	
"751.977"	""	"29c"	""		""	""		""	"L3475"	
"757.458"	""	"170c"	""		""	""		""	"L3475"	
"758.321"	""	"17c"	""		""	""		""	"L3475"	
"763.981"	""	"13"	""		""	""		""	"L3475"	
"764.771"	""	"13"	""		""	""		""	"L3475"	
"770.333"	""	"25"	""		""	""		""	"L3475"	
"772.668"	""	"75c"	""		""	""		""	"L3475"	
"775.731"	""	"25"	""		""	""		""	"L3475"	
"778.711"	""	"6"	""		""	""		""	"L3475"	
